claim_id,meeting_date,quantifier,minutes_sentence
20201216-05,2020-12-16,several,"The unemployment rate had declined further, although several participants underlined the fact that the labor force participation rate remained below its prepandemic level—likely reflecting, in part, health concerns and additional childcare responsibilities associated with online schooling."
20201216-06,2020-12-16,some,"Some participants expressed the concern that the longer the pandemic continued, the more lasting damage to the labor market there could be."
20201216-07,2020-12-16,several,"In light of these considerations, several participants assessed that improvements in the labor market were lagging that of economic activity, and they indicated that they had not revised their projections of labor market variables to the same extent as their revision of the outlook for economic activity."
20201216-08,2020-12-16,a couple of,"A couple of participants suggested that, as a result of ongoing technology-enabled disruption to business models and practices or lasting pandemicinduced restraint on firms’ pricing power, downward pressure on inflation could persist."
20201216-09,2020-12-16,several,Several participants noted a pickup in market-based measures of inflation compensation.
20201216-10,2020-12-16,a few,"Participants noted that the financing conditions for small businesses were especially strained, with a few participants pointing out that a sizable fraction of small businesses had permanently closed or were in the process of transitioning to closure."
20201216-11,2020-12-16,a couple of,"A couple of participants observed that aggregate banking data had not indicated a significant increase in loan delinquencies for C&I loans thus far, though this development could be partly due to the CARES Act provisions that provided relief to many troubled borrowers or to the fact that many small businesses had gone out of business without declaring bankruptcy or defaulting on loans."
20201216-12,2020-12-16,some,"Some participants noted the important role played by the various section 13(3) facilities implemented in 2020 in serving as temporary backstops to key credit markets and in helping to restore and maintain the flow of credit to households, businesses, and communities."
20201216-13,2020-12-16,a number of,"The positive vaccine news was seen as reducing downside risks over the medium term, and a number of participants saw risks to economic activity as more balanced than earlier."
20201216-14,2020-12-16,a few,"As an upside risk to inflation, a few participants noted the potential for a stronger-than-expected recovery, coupled with the possible emergence of pandemic-related supply constraints, to boost inflation."
20201216-15,2020-12-16,a few,A few participants stressed that all of the Committee’s policy tools were now well positioned to respond to the evolution of the economy.
20201216-16,2020-12-16,a couple of,"A couple of participants remarked that, against this background, it was important to convey to the public that the federal funds rate remained the Committee’s primary policy tool."
20201216-17,2020-12-16,a number of,A number of participants discussed considerations related to determining the eventual attainment of “substantial further progress” toward reaching the Committee’s maximum employment and price stability goals.
20201216-18,2020-12-16,various,Various participants noted the importance of the Committee clearly communicating its assessment of actual and expected progress toward its longer-run goals well in advance of the time when it could be judged substantial enough to warrant a change in the pace of purchases.
20201216-19,2020-12-16,a couple of,"Regarding the decisions on the pace and composition of the Committee’s asset purchases, all participants judged that it would be appropriate to continue those purchases at least at the current pace, and nearly all favored maintaining the current composition of purchases, although a couple of participants indicated that they were open to weighting purchases of Treasury securities toward longer maturities."
20201216-20,2020-12-16,some,Some participants noted that the Committee could consider future adjustments to its asset purchases—such as increasing the pace of securities purchases or weighting purchases of Treasury securities toward those that had longer remaining maturities—if such adjustments were deemed appropriate to support the attainment of the Committee’s objectives.
20201216-21,2020-12-16,a few,A few participants underlined the importance of continuing to evaluate the balance of costs and risks associated with asset purchases against the benefits arising from purchases.
20201216-22,2020-12-16,a number of,"A number of participants noted that, once such progress had been attained, a gradual tapering of purchases could begin and the process thereafter could generally follow a sequence similar to the one implemented during the large-scale purchase program in 2013 and 2014."
